id_paper,id_publisher
"GOESSLING KP, 2016, MIND CULT ACT, V23, P179, DOI 10.1080/10749039.2016.1155624", TAYLOR & FRANCIS LTD
"GERTRUDIX-BARRIO F, 2016, REV LATINOAM TECNOL, V15, P113, DOI 10.17398/1695-288X.15.2.113",UNIV EXTREMADURA
"GERTRUDIX-BARRIO F, 2016, REV LATINOAM TECNOL, V15, P113, DOI 10.17398/1695-288X.15.2.113", FAC EDUCACION
"AUSTIN EW, 2016, J HEALTH COMMUN, V21, P600, DOI 10.1080/10810730.2016.1153761",TAYLOR & FRANCIS INC
"ROMERO-RODRIGUEZ LM, 2016, FONSECA, P11, DOI 10.14201/FJC2016121125",EDICIONES UNIV SALAMANCA
"CLAVERO IBANEZ DE GARAYO S, 2016, FONSECA, P167, DOI 10.14201/FJC201612167182",EDICIONES UNIV SALAMANCA
"MARTA-LAZO C, 2016, J UNIVERS COMPUT SCI, V22, P37",GRAZ UNIV TECHNOLGOY
"MARTA-LAZO C, 2016, J UNIVERS COMPUT SCI, V22, P37", INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM
"PFAFF-RUDIGER S, 2016, J CHILD MEDIA, V10, P164, DOI 10.1080/17482798.2015.1127838",ROUTLEDGE JOURNALS
"PFAFF-RUDIGER S, 2016, J CHILD MEDIA, V10, P164, DOI 10.1080/17482798.2015.1127838", TAYLOR & FRANCIS LTD
"CRUZ XAN, 2016, REV LAT COMUN SOC, V71, P197, DOI 10.4185/RLCS-2016-1091",LABORATORIO TECNOLOGIAS INFORMACION & NUEVOS ANALISIS COMUNICACION;   SOCIAL
"LOZANOVA L, 2016, MEDIAOBRAZOVANIE, P47",UNESCO
"LOZANOVA L, 2016, MEDIAOBRAZOVANIE, P47", MOSCOW OFFICE
"CHELYSHEVA I, 2016, MEDIAOBRAZOVANIE, P71",UNESCO
"CHELYSHEVA I, 2016, MEDIAOBRAZOVANIE, P71", MOSCOW OFFICE
"MASON L, 2016, CURRICULUM INQ, V46, P79, DOI 10.1080/03626784.2015.1113511",TAYLOR & FRANCIS LTD
"VANWESENBEECK I, 2016, J ADVERTISING, V45, P183, DOI 10.1080/00913367.2015.1123125",ROUTLEDGE JOURNALS
"VANWESENBEECK I, 2016, J ADVERTISING, V45, P183, DOI 10.1080/00913367.2015.1123125", TAYLOR & FRANCIS LTD
"WATSON A, 2016, J INVEST MED, V64, P303, DOI 10.1136/JIM-D-15-00013.386",LIPPINCOTT WILLIAMS & WILKINS
"NADIRAH MSN, 2016, INT FOOD RES J, V23, P381",UNIV PUTRA MALAYSIA PRESS
"PATTERSON AN, 2016, MERIDIANS, V15, P40, DOI 10.2979/MERIDIANS.15.1.04",INDIANA UNIV PRESS
"BANERJEE SC, 2015, TRANSL BEHAV MED, V5, P425, DOI 10.1007/S13142-015-0329-9",SPRINGER INTERNATIONAL PUBLISHING AG
"MILLINGTON B, 2015, J AGING STUD, V35, P160, DOI 10.1016/J.JAGING.2015.08.005",ELSEVIER SCIENCE INC
"MAGUIRE M, 2015, J MASS COMMUN Q, V92, P1020, DOI 10.1177/1077699015610327Q",SAGE PUBLICATIONS INC
"VANWYNSBERGHE H, 2015, J LIBR INF SCI, V47, P283, DOI 10.1177/0961000613520027",SAGE PUBLICATIONS LTD
"LARCOM M, 2015, GERONTOLOGIST, V55, P213",OXFORD UNIV PRESS INC
"WEEDON A, 2015, CONVERGENCE-US, V21, P405, DOI 10.1177/1354856515601656",SAGE PUBLICATIONS INC
"MOSES AM, 2015, EARLY CHILD EDUC J, V43, P485, DOI 10.1007/S10643-015-0690-9",SPRINGER
"PARK S, 2015, YOUTH SOC, V47, P829, DOI 10.1177/0044118X14561008",SAGE PUBLICATIONS INC
"LIN TB, 2015, ASIA PAC J EDUC, V35, P423, DOI 10.1080/02188791.2013.860012",ROUTLEDGE JOURNALS
"LIN TB, 2015, ASIA PAC J EDUC, V35, P423, DOI 10.1080/02188791.2013.860012", TAYLOR & FRANCIS LTD
"FRIAS-GUZMAN M, 2015, PERSPECT CIENC INF, V20, P15, DOI 10.1590/1981-5344/2393",UNIV FEDERAL MINAS GERAIS
"FRIAS-GUZMAN M, 2015, PERSPECT CIENC INF, V20, P15, DOI 10.1590/1981-5344/2393", ESCOLA BIBLIOTECONOMIA
"ARISTIZABAL P, 2015, REV INVESTIG EDUC, V13, P243",DIPUTACION PROVINCIAL PONTEVEDRA
"PARTRIDGE RS, 2015, INT J BUS COMMUN, V52, P479, DOI 10.1177/2329488415598431",SAGE PUBLICATIONS INC
"BROCK M, 2015, J LANG LIT EDUC, V11, P197",UNIV GEORGIA
"BROCK M, 2015, J LANG LIT EDUC, V11, P197", COLL EDUCATION
"PROKHOROV A, 2015, J FILM VIDEO, V67, P112",UNIV ILLINOIS PRESS
"GUERRERO-PICO M, 2015, PALABRA CLAVE, V18, P722, DOI 10.5294/PACLA.2015.18.3.5",UNIV SABANA
"GUERRERO-PICO M, 2015, PALABRA CLAVE, V18, P722, DOI 10.5294/PACLA.2015.18.3.5", FAC COMUNICACION
"DAVIS S, 2015, REV COMUN MIDIATICA, V10, P11",UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO
"DAVIS S, 2015, REV COMUN MIDIATICA, V10, P11",  FAC ARQUITETURA ARTES &;   COMUN
"DALTON RW, 2015, RELIG EDUC, V110, P395, DOI 10.1080/00344087.2015.1063963",TAYLOR & FRANCIS INC
"CARR PR, 2015, CRIT EDUC, V6, P1",UNIV BRITISH COLUMBIA
"CARR PR, 2015, CRIT EDUC, V6, P1", FAC EDUCATION
"GORDON CS, 2015, HEALTH EDUC RES, V30, P682, DOI 10.1093/HER/CYV027",OXFORD UNIV PRESS
"AUSTIN EW, 2015, MASS COMMUN SOC, V18, P399, DOI 10.1080/15205436.2014.1001909",ROUTLEDGE JOURNALS
"AUSTIN EW, 2015, MASS COMMUN SOC, V18, P399, DOI 10.1080/15205436.2014.1001909", TAYLOR & FRANCIS LTD
"VRAGA EK, 2015, MASS COMMUN SOC, V18, P422, DOI 10.1080/15205436.2014.1001910",ROUTLEDGE JOURNALS
"VRAGA EK, 2015, MASS COMMUN SOC, V18, P422, DOI 10.1080/15205436.2014.1001910", TAYLOR & FRANCIS LTD
